_id,issue,public_access_level,category,department,codebook_version,request_type_id,count_as_of_mid2024,definition
364,"Ticket, Police-issued",Block Level,Parking,Police - Zones 1-6,2015,424,103,
365,Towed Vehicle,Block Level,Parking,Police - AVU,2015,548,73,
366,Traffic,Block Level,Public Safety,Police - Zones 1-6,2015,,,
367,Traffic,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,,,
368,Traffic Calming,Block Level,,,2024,204933,2064,
369,Traffic Enforcement,Block Level,,,2024,455,3864,
370,Traffic Improvement,Block Level,,,2024,498,1793,
371,Traffic Shop,Block Level,,,2024,255654,2173,
372,Traffic Signal Request,Block Level,Road/Street Issues,DPW - Transportation & Engineering,2015,499,1055,
373,Traffic Signals Surtrac,Block Level,,,2024,246519,253,
374,"Traffic or Pedestrian Signal, Repair",Block Level,Traffic and Street Sign Issues,DPW - Traffic,2015,339,5261,
375,"Traffic or Pedestrian Signal, Request",Block Level,Traffic and Street Sign Issues,DPW - Transportation & Engineering,2015,,,
376,"Traffic or Pedestrian Signal, Request ",Block Level,,,2024,337,1853,
377,Trail Maintenance,Block Level,,,2024,541,558,
378,Tree Fallen Across Road,Block Level,Tree Issues,DPW - Street Maintenance,2015,341,3261,
379,Tree Fallen Across Sidewalk,Block Level,Tree Issues,DPW - Street Maintenance,2015,342,1795,
380,Tree Issues,Neighborhood,Neighborhood Issues,"Permits, Licenses and Inspections",2015,27521,3484,
381,Tree Removal,Block Level,Tree Issues,DPW - Forestry Division,2015,345,4088,
382,URA property,Block Level,,,2024,56616,978,
383,Unpermitted Electrical Work,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,27538,2567,
384,Unpermitted Fire System Work,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,16220,388,
385,Unpermitted HVAC Work,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,18298,1038,
386,Unpermitted Land Operations,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,33745,409,
387,Unpermitted Sign Construction,Neighborhood,Construction Issues,"Permits, Licenses and Inspections",2015,18300,173,
388,Utility Cut - Other,Block Level,Road/Street Issues,DPW - Permits,2015,16331,4523,
389,Utility Cut - PWSA,Block Level,,,2024,500,3712,
390,Utility Cut - Pittsburgh Water & Sewer Authority (PWSA),Block Level,Road/Street Issues,Pittsburgh Water & Sewer Authority (PWSA),2015,,,
391,Utility Pole,Block Level,Utility Issues,DPW - Permits,2015,530,1560,
392,Vacant Building,Block Level,Neighborhood Issues,"Permits, Licenses and Inspections",2015,27522,5810,
393,Vacant Lot,Block Level,,,2024,413,780,
394,Violations,Neighborhood,Garbage and Litter Issues,DPW - Refuse,2015,,,
395,Walkway or Trail,Block Level,Accessibility,311,2015,,,
396,Water Main Break,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,532,1816,
397,Water Pressure,Block Level,Utility Issues,Pittsburgh Water & Sewer Authority,2015,533,139,
398,Water Runoff in ROW,Block Level,,,2024,412002,181,
399,Water/Drinking Fountains,Block Level,City Facilities and Infrastructure,DPW - Facilities,2015,827,1176,
400,Water/Drinking Fountains,Block Level,Parks Issues,DPW  - Facilities,2015,827,1176,
401,Weeds/Debris,Block Level,Neighborhood Issues,"Permits, Licenses and Inspections",2015,410,69632,
402,Wires,Block Level,Utility Issues,DPW - Permits,2015,534,3087,
403,Zoning Issue,Neighborhood,Business Issues,"Permits, Licenses and Inspections",2015,401,3498,
